"Bit","N","SMARTS"
1261,1261,"[!#1]C(=O)[CH2]SC(=S)[!#1]"
1262,1262,"[!#1]C(=O)[CH2]SS(=O)(=O)[OH]"
1263,1263,"[!#1]C(=O)[CH3]"
1264,1264,"[!#1]C(=O)[NH][CH]([CH]([CH3])[CH3])C(=O)[OH]"
1265,1265,"[!#1]C(=O)[NH][CH]([CH2][CH]([CH3])[CH3])C(=O)[OH]"
1266,1266,"[!#1]C(=O)[NH][CH]([CH2][CH]([CH3])[CH3])C(=O)O[CH3]"
1267,1267,"[!#1]C(=O)[NH][CH]([CH2][CH2][CH2][NH]C(=[NH])[NH2])C(=O)[NH2]"
1268,1268,"[!#1]C(=O)[NH][CH]([CH2][OH])[CH]([CH3])[CH3]"
1269,1269,"[!#1]C(=O)[NH][CH]([CH2]C(=O)O[CH3])C(=O)O[CH3]"
1270,1270,"[!#1]C(=O)[NH][CH]([CH3])[CH2][CH2][CH2][CH2][CH3]"
1271,1271,"[!#1]C(=O)[NH][CH]([CH3])[CH2][CH3]"
1272,1272,"[!#1]C(=O)[NH][CH]([CH3])[CH3]"
1273,1273,"[!#1]C(=O)[NH][CH]([CH3])C(=O)[OH]"
1274,1274,"[!#1]C(=O)[NH][CH]([NH]C([CH3])([CH3])[CH3])C(Cl)(Cl)Cl"
1275,1275,"[!#1]C(=O)[NH][CH](N([CH2][CH3])[CH2][CH3])C(Cl)(Cl)Cl"
1276,1276,"[!#1]C(=O)[NH][CH2][CH]([CH3])[CH3]"
1277,1277,"[!#1]C(=O)[NH][CH2][CH]=[CH2]"
1278,1278,"[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]"
1279,1279,"[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH2][CH3]"
1280,1280,"[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]"
1281,1281,"[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH3]"
1282,1282,"[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]"
1283,1283,"[!#1]C(=O)[NH][CH2][CH2][CH2][CH3]"
1284,1284,"[!#1]C(=O)[NH][CH2][CH2][CH2][OH]"
1285,1285,"[!#1]C(=O)[NH][CH2][CH2][CH2]C(=O)[OH]"
1286,1286,"[!#1]C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]"
1287,1287,"[!#1]C(=O)[NH][CH2][CH2][CH3]"
1288,1288,"[!#1]C(=O)[NH][CH2][CH2][NH]C(=O)[!#1]"
1289,1289,"[!#1]C(=O)[NH][CH2][CH2][OH]"
1290,1290,"[!#1]C(=O)[NH][CH2][CH2]C(=O)[OH]"
1291,1291,"[!#1]C(=O)[NH][CH2][CH2]N([CH2][CH3])[CH2][CH3]"
1292,1292,"[!#1]C(=O)[NH][CH2][CH2]OC(=O)[!#1]"
1293,1293,"[!#1]C(=O)[NH][CH2][CH2]OC(=O)[CH3]"
1294,1294,"[!#1]C(=O)[NH][CH2][CH3]"
1295,1295,"[!#1]C(=O)[NH][CH2]C(=O)[OH]"
1296,1296,"[!#1]C(=O)[NH][CH2]C(=O)O[CH2][CH3]"
1297,1297,"[!#1]C(=O)[NH][CH2]C(=O)O[CH3]"
1298,1298,"[!#1]C(=O)[NH][CH2]OC(=O)[!#1]"
1299,1299,"[!#1]C(=O)[NH][CH3]"
1300,1300,"[!#1]C(=O)[NH][NH]C(=O)[!#1]"
1301,1301,"[!#1]C(=O)[NH][NH]C(=O)[CH]=[CH]C(=O)[OH]"
1302,1302,"[!#1]C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]"
1303,1303,"[!#1]C(=O)[NH][NH]C(=O)[CH2][CH2]C(=O)[OH]"
1304,1304,"[!#1]C(=O)[NH][NH]C(=O)[CH3]"
1305,1305,"[!#1]C(=O)[NH][NH]C(=O)C(F)(F)F"
1306,1306,"[!#1]C(=O)[NH][NH]C(=S)[NH]C(=O)[!#1]"
1307,1307,"[!#1]C(=O)[NH][NH]C(=S)[NH2]"
1308,1308,"[!#1]C(=O)[NH][NH]S(=O)(=O)[!#1]"
1309,1309,"[!#1]C(=O)[NH][NH2]"
1310,1310,"[!#1]C(=O)[NH][OH]"
1311,1311,"[!#1]C(=O)[NH]C([!#1])([!#1])[CH3]"
1312,1312,"[!#1]C(=O)[NH]C([CH2][OH])([CH2][OH])[CH2][OH]"
1313,1313,"[!#1]C(=O)[NH]C([CH3])([CH3])[CH3]"
1314,1314,"[!#1]C(=O)[NH]C(=S)[!#1]"
1315,1315,"[!#1]C(=O)[NH]c1[cH][cH][cH][cH][cH]1"
1316,1316,"[!#1]C(=O)[NH]c1[cH][cH][cH]c(Cl)[cH]1"
1317,1317,"[!#1]C(=O)[NH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
1318,1318,"[!#1]C(=O)[NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]"
1319,1319,"[!#1]C(=O)[NH]c1[cH][cH]c(Cl)[cH][cH]1"
1320,1320,"[!#1]C(=O)[NH]c1[cH][cH]c(Cl)c(Cl)[cH]1"
1321,1321,"[!#1]C(=O)[NH]c1nc([CH3])[cH]c([CH3])n1"
1322,1322,"[!#1]C(=O)[NH]c1nc([CH3])nc(O[CH3])n1"
1323,1323,"[!#1]C(=O)[NH]N=[CH][CH]=[CH]c1[cH][cH][cH][cH][cH]1"
1324,1324,"[!#1]C(=O)[NH]N=[CH][CH]=N[NH]C(=O)[!#1]"
1325,1325,"[!#1]C(=O)[NH]N=[CH][CH2][CH2][CH3]"
1326,1326,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH][cH]1"
1327,1327,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]"
1328,1328,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[OH]"
1329,1329,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Cl"
1330,1330,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1F"
1331,1331,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1O[CH3]"
1332,1332,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][nH]1"
1333,1333,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
1334,1334,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([CH2][CH]=[CH2])c1[OH]"
1335,1335,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]n[cH]1"
1336,1336,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]o1"
1337,1337,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]s1"
1338,1338,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([!#1])[cH][cH]1"
1339,1339,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([!#1])[cH]c1[OH]"
1340,1340,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
1341,1341,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2"
1342,1342,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)N([CH3])[CH3]"
1343,1343,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([CH3])o1"
1344,1344,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])[cH][cH]1"
1345,1345,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])c(O[CH3])[cH]1"
1346,1346,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(Br)[cH][cH]1"
1347,1347,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1"
1348,1348,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH]c1Cl"
1349,1349,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(F)[cH][cH]1"
1350,1350,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])[cH][cH]1"
1351,1351,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])[cH]c1O[CH3]"
1352,1352,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])c(O[CH3])[cH]1"
1353,1353,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(o1)[N+](=O)[O-]"
1354,1354,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(s1)[N+](=O)[O-]"
1355,1355,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c2n([CH2][CH3])c3[cH][cH][cH][cH]c3c2[cH]1"
1356,1356,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c2O[CH2]Oc2[cH]1"
1357,1357,"[!#1]C(=O)[NH]N=[CH]c1[cH][cH]n[cH][cH]1"
1358,1358,"[!#1]C(=O)[NH]N=[CH]c1[cH][nH]c2[cH][cH][cH][cH]c12"
1359,1359,"[!#1]C(=O)[NH]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]"
1360,1360,"[!#1]C(=O)[NH]N=[CH]c1[cH]c([CH3])[cH][cH]c1[OH]"
1361,1361,"[!#1]C(=O)[NH]N=[CH]c1[cH]c(Cl)[cH][cH]c1[OH]"
1362,1362,"[!#1]C(=O)[NH]N=[CH]c1[cH]c(Cl)[cH]c(Cl)c1O[CH3]"
1363,1363,"[!#1]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]"
1364,1364,"[!#1]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1Br"
1365,1365,"[!#1]C(=O)[NH]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12"
1366,1366,"[!#1]C(=O)[NH]N=[CH]c1nc2[cH][cH][cH][cH]c2[nH]1"
1367,1367,"[!#1]C(=O)[NH]N=C([!#1])[CH2][CH2][CH2][CH2][CH3]"
1368,1368,"[!#1]C(=O)[NH]N=C([!#1])[CH2][CH2][CH2][CH3]"
1369,1369,"[!#1]C(=O)[NH]N=C([!#1])[CH2][CH2][CH3]"
1370,1370,"[!#1]C(=O)[NH]N=C([!#1])[CH2][CH3]"
1371,1371,"[!#1]C(=O)[NH]N=C([CH3])[CH]=[CH]c1[cH][cH][cH][cH][cH]1"
1372,1372,"[!#1]C(=O)[NH]N=C([CH3])[CH]1[CH2][CH2]1"
1373,1373,"[!#1]C(=O)[NH]N=C([CH3])[CH2][CH]([CH3])[CH3]"
1374,1374,"[!#1]C(=O)[NH]N=C([CH3])[CH2][CH2][CH]=[CH2]"
1375,1375,"[!#1]C(=O)[NH]N=C([CH3])[CH2][CH2][CH2][CH3]"
1376,1376,"[!#1]C(=O)[NH]N=C([CH3])[CH2][NH]C(=O)[CH3]"
1377,1377,"[!#1]C(=O)[NH]N=C([CH3])[CH2]C(=O)[CH3]"
1378,1378,"[!#1]C(=O)[NH]N=C([CH3])[CH3]"
1379,1379,"[!#1]C(=O)[NH]N=C([CH3])C(=N[OH])[CH3]"
1380,1380,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH][cH][cH]1"
1381,1381,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH][cH]c1[OH]"
1382,1382,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
1383,1383,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]c([NH2])[cH]1"
1384,1384,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]o1"
1385,1385,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([!#1])[cH][cH]1"
1386,1386,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
1387,1387,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2"
1388,1388,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([NH2])[cH][cH]1"
1389,1389,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([OH])[cH][cH]1"
1390,1390,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Br)[cH][cH]1"
1391,1391,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Cl)[cH][cH]1"
1392,1392,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Cl)s1"
1393,1393,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(F)[cH][cH]1"
1394,1394,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(O[CH3])[cH][cH]1"
1395,1395,"[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(O[CH3])[cH]c1O[CH3]"
1396,1396,"[!#1]C(=O)[NH]N=C([CH3])c1[cH]c([OH])[cH][cH]c1[OH]"
1397,1397,"[!#1]C(=O)[NH]N=C1[CH2][CH2][CH2][CH2][CH2]1"
1398,1398,"[!#1]C(=O)[NH]N=C1[CH2][CH2][CH2][CH2]1"
1399,1399,"[!#1]C(=O)[NH]N=C1[CH2]C(=O)[CH2]C([CH3])([CH3])[CH2]1"
1400,1400,"[!#1]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH][cH][cH]c12"
1401,1401,"[!#1]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH]c([!#1])[cH]c12"
1402,1402,"[!#1]C(=O)[NH]N=c1c(=O)c2[cH][cH][cH][cH]c2c1=O"
1403,1403,"[!#1]C(=O)[NH]N=C1c2nn([!#1])nc2C(=N[NH]C(=O)[!#1])c3nn([!#1])nc13"
1404,1404,"[!#1]C(=O)[NH]S(=O)(=O)[!#1]"
1405,1405,"[!#1]C(=O)[NH2]"
1406,1406,"[!#1]C(=O)[OH]"
1407,1407,"[!#1]C(=O)C([!#1])([!#1])[CH3]"
1408,1408,"[!#1]C(=O)C([!#1])([!#1])[OH]"
1409,1409,"[!#1]C(=O)C([!#1])([!#1])C#N"
1410,1410,"[!#1]C(=O)C([!#1])([!#1])C(=O)[!#1]"
1411,1411,"[!#1]C(=O)C([CH2][CH3])([CH2][CH3])C(=O)[!#1]"
1412,1412,"[!#1]C(=O)C([CH3])([CH3])[CH3]"
1413,1413,"[!#1]C(=O)C([OH])(c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2"
1414,1414,"[!#1]C(=O)C([OH])(c1[cH][cH]c(Br)[cH][cH]1)c2[cH][cH]c(Br)[cH][cH]2"
1415,1415,"[!#1]C(=O)C(=N[NH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-])C(=O)[!#1]"
1416,1416,"[!#1]C(=O)C(=N[NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[OH])C(=O)[!#1]"
1417,1417,"[!#1]C(=O)C(=N[OH])C(=O)O[CH2][CH3]"
1418,1418,"[!#1]C(=O)C(=O)[!#1]"
1419,1419,"[!#1]C(=O)C(Cl)(Cl)Cl"
1420,1420,"[!#1]C(=O)C(F)(F)C(F)(F)F"
1421,1421,"[!#1]C(=O)C(F)(F)F"
1422,1422,"[!#1]C(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F"
1423,1423,"[!#1]C(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F"
1424,1424,"[!#1]C(=O)C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3"
1425,1425,"[!#1]C(=O)C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2][CH]([CH2]2)[CH2][CH2]3"
1426,1426,"[!#1]C(=O)c1[cH][cH][cH][cH][cH]1"
1427,1427,"[!#1]C(=O)c1[cH][cH][cH][cH]c1[!#1]"
1428,1428,"[!#1]C(=O)c1[cH][cH][cH][cH]c1[CH3]"
1429,1429,"[!#1]C(=O)c1[cH][cH][cH][cH]c1[N+](=O)[O-]"
1430,1430,"[!#1]C(=O)c1[cH][cH][cH][cH]c1[OH]"
1431,1431,"[!#1]C(=O)c1[cH][cH][cH][cH]c1Br"
1432,1432,"[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
1433,1433,"[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[OH]"
1434,1434,"[!#1]C(=O)c1[cH][cH][cH][cH]c1Cl"
1435,1435,"[!#1]C(=O)c1[cH][cH][cH][cH]c1F"
1436,1436,"[!#1]C(=O)c1[cH][cH][cH][cH]c1I"
1437,1437,"[!#1]C(=O)c1[cH][cH][cH][cH]n1"
1438,1438,"[!#1]C(=O)c1[cH][cH][cH]c([!#1])[cH]1"
1439,1439,"[!#1]C(=O)c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
1440,1440,"[!#1]C(=O)c1[cH][cH][cH]c([cH]1)C(=O)[!#1]"
1441,1441,"[!#1]C(=O)c1[cH][cH][cH]c([cH]1)S(=O)(=O)[!#1]"
1442,1442,"[!#1]C(=O)c1[cH][cH][cH]c([CH3])[cH]1"
1443,1443,"[!#1]C(=O)c1[cH][cH][cH]c(Br)[cH]1"
1444,1444,"[!#1]C(=O)c1[cH][cH][cH]c(Cl)[cH]1"
1445,1445,"[!#1]C(=O)c1[cH][cH][cH]c(F)[cH]1"
1446,1446,"[!#1]C(=O)c1[cH][cH][cH]c(I)[cH]1"
1447,1447,"[!#1]C(=O)c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
1448,1448,"[!#1]C(=O)c1[cH][cH][cH]n[cH]1"
1449,1449,"[!#1]C(=O)c1[cH][cH][cH]o1"
1450,1450,"[!#1]C(=O)c1[cH][cH][cH]s1"
1451,1451,"[!#1]C(=O)c1[cH][cH][n+]([O-])[cH][cH]1"
1452,1452,"[!#1]C(=O)c1[cH][cH]c([!#1])[cH][cH]1"
1453,1453,"[!#1]C(=O)c1[cH][cH]c([!#1])c([cH]1)[N+](=O)[O-]"
1454,1454,"[!#1]C(=O)c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
1455,1455,"[!#1]C(=O)c1[cH][cH]c([cH][cH]1)C([CH3])([CH3])[CH3]"
1456,1456,"[!#1]C(=O)c1[cH][cH]c([cH][cH]1)C(=O)[!#1]"
1457,1457,"[!#1]C(=O)c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2"
1458,1458,"[!#1]C(=O)c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]"
1459,1459,"[!#1]C(=O)c1[cH][cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-]"
1460,1460,"[!#1]C(=O)c1[cH][cH]c([cH]c1C(=O)[OH])[N+](=O)[O-]"
1461,1461,"[!#1]C(=O)c1[cH][cH]c([CH3])[cH][cH]1"
1462,1462,"[!#1]C(=O)c1[cH][cH]c([CH3])c([cH]1)S(=O)(=O)[!#1]"
1463,1463,"[!#1]C(=O)c1[cH][cH]c([OH])[cH][cH]1"
1464,1464,"[!#1]C(=O)c1[cH][cH]c(Br)[cH][cH]1"
1465,1465,"[!#1]C(=O)c1[cH][cH]c(Br)c([cH]1)[N+](=O)[O-]"
1466,1466,"[!#1]C(=O)c1[cH][cH]c(Br)o1"
1467,1467,"[!#1]C(=O)c1[cH][cH]c(Cl)[cH][cH]1"
1468,1468,"[!#1]C(=O)c1[cH][cH]c(Cl)[cH]c1Cl"
1469,1469,"[!#1]C(=O)c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]"
1470,1470,"[!#1]C(=O)c1[cH][cH]c(Cl)c(Cl)[cH]1"
1471,1471,"[!#1]C(=O)c1[cH][cH]c(F)[cH][cH]1"
1472,1472,"[!#1]C(=O)c1[cH][cH]c(F)c(F)[cH]1"
1473,1473,"[!#1]C(=O)c1[cH][cH]c(o1)[N+](=O)[O-]"
1474,1474,"[!#1]C(=O)c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1"
1475,1475,"[!#1]C(=O)c1[cH][cH]c2n([!#1])c([CH3])c([CH3])c2[cH]1"
1476,1476,"[!#1]C(=O)c1[cH][cH]n[cH][cH]1"
1477,1477,"[!#1]C(=O)c1[cH]c([cH][cH]c1Cl)[N+](=O)[O-]"
1478,1478,"[!#1]C(=O)c1[cH]c([cH]c([cH]1)[N+](=O)[O-])[N+](=O)[O-]"
1479,1479,"[!#1]C(=O)c1[cH]c([cH]c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]"
1480,1480,"[!#1]C(=O)c1[cH]c([N+](=O)[O-])c([CH3])c([cH]1)[N+](=O)[O-]"
1481,1481,"[!#1]C(=O)c1[cH]c(Cl)[cH][cH]c1[OH]"
1482,1482,"[!#1]C(=O)c1[cH]c(Cl)[cH]c(Cl)[cH]1"
1483,1483,"[!#1]C(=O)c1[cH]c2[cH][cH][cH][cH]c2oc1=O"
1484,1484,"[!#1]C(=O)c1[cH]n([!#1])nc1[!#1]"
1485,1485,"[!#1]C(=O)c1c([!#1])[cH]nn1[!#1]"
1486,1486,"[!#1]C(=O)c1c([!#1])n([!#1])c2nc3[cH][cH][cH][cH]c3nc12"
1487,1487,"[!#1]C(=O)c1c([cH][cH][cH]c1[N+](=O)[O-])C(=O)[OH]"
1488,1488,"[!#1]C(=O)c1c([cH]nn1[!#1])[N+](=O)[O-]"
1489,1489,"[!#1]C(=O)c1c([OH])c2[cH][cH][cH][cH]c2oc1=O"
1490,1490,"[!#1]C(=O)c1c(F)[cH][cH][cH]c1F"
1491,1491,"[!#1]C(=O)c1c(n[cH]n1[!#1])[N+](=O)[O-]"
1492,1492,"[!#1]C(=O)c1n[cH][cH]nc1C(=O)[OH]"
1493,1493,"[!#1]C(=O)c1nn([!#1])[cH]c1Br"
1494,1494,"[!#1]C(=O)c1sc([!#1])nc1[!#1]"
1495,1495,"[!#1]C(=O)c1sc2[cH][cH][cH][cH]c2c1Cl"
1496,1496,"[!#1]C(=O)N([CH]([CH3])[CH3])[CH]([CH3])[CH3]"
1497,1497,"[!#1]C(=O)N([CH2][CH2][CH2][CH2][CH3])[CH2][CH2][CH2][CH2][CH3]"
1498,1498,"[!#1]C(=O)N([CH2][CH2]C(=O)[OH])[CH2]C(=O)[OH]"
1499,1499,"[!#1]C(=O)N([CH2][CH3])[CH2][CH3]"
1500,1500,"[!#1]C(=O)N([CH3])[CH3]"
1501,1501,"[!#1]C(=O)n1[cH]nc2[cH][cH][cH][cH]c12"
1502,1502,"[!#1]C(=O)N1[CH2][CH2][CH2][CH2][CH2][CH2]1"
1503,1503,"[!#1]C(=O)N1[CH2][CH2][CH2][CH2][CH2]1"
1504,1504,"[!#1]C(=O)N1[CH2][CH2][CH2][CH2]1"
1505,1505,"[!#1]C(=O)N1[CH2][CH2]c2[cH][cH][cH][cH]c12"
1506,1506,"[!#1]C(=O)N1[CH2][CH2]O[CH2][CH2]1"
1507,1507,"[!#1]C(=O)n1nnc2[cH][cH][cH][cH]c12"
1508,1508,"[!#1]C(=O)O[CH]([CH3])[CH3]"
1509,1509,"[!#1]C(=O)O[CH]([CH3])C(=C(Cl)Cl)Cl"
1510,1510,"[!#1]C(=O)O[CH2][CH]([CH3])[CH3]"
1511,1511,"[!#1]C(=O)O[CH2][CH2][CH2][CH2][CH2][CH3]"
1512,1512,"[!#1]C(=O)O[CH2][CH2][CH2][CH2][CH3]"
1513,1513,"[!#1]C(=O)O[CH2][CH2][CH2][CH3]"
1514,1514,"[!#1]C(=O)O[CH2][CH2][CH2]N([CH3])[CH3]"
1515,1515,"[!#1]C(=O)O[CH2][CH2][CH3]"
1516,1516,"[!#1]C(=O)O[CH2][CH2][NH2]"
1517,1517,"[!#1]C(=O)O[CH2][CH2][OH]"
1518,1518,"[!#1]C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]"
1519,1519,"[!#1]C(=O)O[CH2][CH2]N([CH3])[CH3]"
1520,1520,"[!#1]C(=O)O[CH2][CH3]"
1521,1521,"[!#1]C(=O)O[CH2]C#[CH]"
1522,1522,"[!#1]C(=O)O[CH2]C(=C(Cl)Cl)Cl"
1523,1523,"[!#1]C(=O)O[CH2]C(F)(F)C(F)(F)F"
1524,1524,"[!#1]C(=O)O[CH3]"
1525,1525,"[!#1]C(=O)OC([CH3])([CH3])[CH3]"
1526,1526,"[!#1]C(=O)ON=[CH]c1[cH][cH]c(Br)[cH][cH]1"
1527,1527,"[!#1]C(=O)ON=C([CH3])C([CH3])([CH3])[CH3]"
1528,1528,"[!#1]C(=O)ON=C([CH3])c1[cH][cH][cH][cH][cH]1"
1529,1529,"[!#1]C(=S)[NH][CH2]C(=[CH2])[CH3]"
1530,1530,"[!#1]C(=S)[NH2]"
1531,1531,"[!#1]C(=S)S[CH2][CH2]C(=O)[OH]"
1532,1532,"[!#1]C(Cl)(Cl)Cl"
1533,1533,"[!#1]C(F)(F)[CH](F)F"
1534,1534,"[!#1]C(F)(F)C(F)(F)[CH](F)F"
1535,1535,"[!#1]C(F)(F)C(F)(F)F"
1536,1536,"[!#1]C(F)(F)F"
1537,1537,"[!#1]C1([!#1])[CH]2[CH2][CH2]C([CH3])(C1=O)C2([CH3])[CH3]"
1538,1538,"[!#1]C1([!#1])[CH2][CH2][CH2][CH2][CH2]1"
1539,1539,"[!#1]C1([!#1])[CH2][CH2][CH2][CH2]1"
1540,1540,"[!#1]C1([!#1])C(=NN(C1=O)c2[cH][cH]c([cH][cH]2)[N+](=O)[O-])[CH3]"
1541,1541,"[!#1]C1([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O"
1542,1542,"[!#1]C1([!#1])C(=O)c2[cH][cH][cH][cH]c2C1=O"
1543,1543,"[!#1]C1([!#1])C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([cH][cH]3)[N+](=O)[O-]"
1544,1544,"[!#1]C1([!#1])C(=O)OC([CH3])([CH3])OC1=O"
1545,1545,"[!#1]C1([!#1])S(c2[cH][cH][cH][cH]c2C1=O)"
1546,1546,"[!#1]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3"
1547,1547,"[!#1]C1([CH2][CH]2[CH2][CH]3[CH2][CH]2[CH2]1)[CH2]3"
1548,1548,"[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2][CH]([CH2]2)[CH2][CH2]3"
1549,1549,"[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2]C([!#1])([CH2]2)[CH2]3"
1550,1550,"[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2]C([OH])([CH2]2)[CH2]3"
1551,1551,"[!#1]C1([CH2][CH3])C(=[NH])[NH]C(=O)[NH]C1=O"
1552,1552,"[!#1]C1([CH2]N2[CH2]N3[CH2]1)C(=O)C([!#1])([CH2]2)[CH2]3"
1553,1553,"[!#1]C1([CH3])O[CH2][CH2]O1"
1554,1554,"[!#1]C1([OH])[CH2][CH2][CH2][CH2][CH2]1"
1555,1555,"[!#1]C1([OH])[CH2][CH2][CH2][CH2]1"
1556,1556,"[!#1]C1([OH])C(=O)[NH]c2[cH][cH][cH][cH]c21"
1557,1557,"[!#1]C1([OH])N(C(=O)[NH]c2[cH][cH][cH][cH]c21)c3[cH][cH][cH][cH][cH]3"
1558,1558,"[!#1]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3"
1559,1559,"[!#1]C1(C(=O)N(c2[cH][cH][cH][cH]c21)c3[cH][cH][cH][cH][cH]3)C(F)(F)F"
